"G24V01[SQ001]","G24V01[SQ002]","G24V01[SQ003]","G24V01[SQ004]","G24V01[SQ005]","G24V01[SQ006]","G24V01[SQ007]","G24V01[SQ008]","G24V01[SQ009]","G24V01[SQ010]","G24V02[SQ001]","G24V02[SQ002]","G24V02[SQ003]","G24V02[SQ004]","G24V02[SQ005]","G24V02[SQ006]","G24V02[SQ007]","G24V02[SQ008]","G24V02[SQ009]","G24V02[SQ010]","G24V03[SQ001]","G24V03[SQ002]","G24V03[SQ003]","G24V03[SQ004]","G24V03[SQ005]","G24V03[SQ006]","G24V03[SQ007]","G24V03[SQ008]","G24V03[SQ009]","G24V03[SQ010]","G25V01[SQ001]","G25V01[SQ002]","G25V01[SQ003]","G25V01[SQ004]","G25V01[SQ005]","G25V01[SQ006]","G25V01[SQ007]","G25V01[SQ008]","G25V01[SQ009]","G25V01[SQ010]","G25V02[SQ001]","G25V02[SQ002]","G25V02[SQ003]","G25V02[SQ004]","G25V02[SQ005]","G25V02[SQ006]","G25V02[SQ007]","G25V02[SQ008]","G25V02[SQ009]","G25V02[SQ010]","G25V03[SQ001]","G25V03[SQ002]","G25V03[SQ003]","G25V03[SQ004]","G25V03[SQ005]","G25V03[SQ006]","G25V03[SQ007]","G25V03[SQ008]","G25V03[SQ009]","G25V03[SQ010]","G26V01[SQ001]","G26V01[SQ002]","G26V01[SQ003]","G26V01[SQ004]","G26V01[SQ005]","G26V01[SQ006]","G26V01[SQ007]","G26V01[SQ008]","G26V01[SQ009]","G26V01[SQ010]","G26V02[SQ001]","G26V02[SQ002]","G26V02[SQ003]","G26V02[SQ004]","G26V02[SQ005]","G26V02[SQ006]","G26V02[SQ007]","G26V02[SQ008]","G26V02[SQ009]","G26V02[SQ010]","G26V03[SQ001]","G26V03[SQ002]","G26V03[SQ003]","G26V03[SQ004]","G26V03[SQ005]","G26V03[SQ006]","G26V03[SQ007]","G26V03[SQ008]","G26V03[SQ009]","G26V03[SQ010]","G27V01[SQ001]","G27V01[SQ002]","G27V01[SQ003]","G27V01[SQ004]","G27V01[SQ005]","G27V01[SQ006]","G27V01[SQ007]","G27V01[SQ008]","G27V01[SQ009]","G27V01[SQ010]","G27V02[SQ001]","G27V02[SQ002]","G27V02[SQ003]","G27V02[SQ004]","G27V02[SQ005]","G27V02[SQ006]","G27V02[SQ007]","G27V02[SQ008]","G27V02[SQ009]","G27V02[SQ010]","G27V03[SQ001]","G27V03[SQ002]","G27V03[SQ003]","G27V03[SQ004]","G27V03[SQ005]","G27V03[SQ006]","G27V03[SQ007]","G27V03[SQ008]","G27V03[SQ009]","G27V03[SQ010]","G28V01[SQ001]","G28V01[SQ002]","G28V01[SQ003]","G28V01[SQ004]","G28V01[SQ005]","G28V01[SQ006]","G28V01[SQ007]","G28V01[SQ008]","G28V01[SQ009]","G28V01[SQ010]","G28V02[SQ001]","G28V02[SQ002]","G28V02[SQ003]","G28V02[SQ004]","G28V02[SQ005]","G28V02[SQ006]","G28V02[SQ007]","G28V02[SQ008]","G28V02[SQ009]","G28V02[SQ010]","G28V03[SQ001]","G28V03[SQ002]","G28V03[SQ003]","G28V03[SQ004]","G28V03[SQ005]","G28V03[SQ006]","G28V03[SQ007]","G28V03[SQ008]","G28V03[SQ009]","G28V03[SQ010]","G29V01[SQ001]","G29V01[SQ002]","G29V01[SQ003]","G29V01[SQ004]","G29V01[SQ005]","G29V01[SQ006]","G29V01[SQ007]","G29V01[SQ008]","G29V01[SQ009]","G29V01[SQ010]","G29V02[SQ001]","G29V02[SQ002]","G29V02[SQ003]","G29V02[SQ004]","G29V02[SQ005]","G29V02[SQ006]","G29V02[SQ007]","G29V02[SQ008]","G29V02[SQ009]","G29V02[SQ010]","G29V03[SQ001]","G29V03[SQ002]","G29V03[SQ003]","G29V03[SQ004]","G29V03[SQ005]","G29V03[SQ006]","G29V03[SQ007]","G29V03[SQ008]","G29V03[SQ009]","G29V03[SQ010]","G30V01[SQ001]","G30V01[SQ002]","G30V01[SQ003]","G30V01[SQ004]","G30V01[SQ005]","G30V01[SQ006]","G30V01[SQ007]","G30V01[SQ008]","G30V01[SQ009]","G30V01[SQ010]","G30V02[SQ001]","G30V02[SQ002]","G30V02[SQ003]","G30V02[SQ004]","G30V02[SQ005]","G30V02[SQ006]","G30V02[SQ007]","G30V02[SQ008]","G30V02[SQ009]","G30V02[SQ010]","G30V03[SQ001]","G30V03[SQ002]","G30V03[SQ003]","G30V03[SQ004]","G30V03[SQ005]","G30V03[SQ006]","G30V03[SQ007]","G30V03[SQ008]","G30V03[SQ009]","G30V03[SQ010]","G31V01[SQ001]","G31V01[SQ002]","G31V01[SQ003]","G31V01[SQ004]","G31V01[SQ005]","G31V01[SQ006]","G31V01[SQ007]","G31V01[SQ008]","G31V01[SQ009]","G31V01[SQ010]","G31V02[SQ001]","G31V02[SQ002]","G31V02[SQ003]","G31V02[SQ004]","G31V02[SQ005]","G31V02[SQ006]","G31V02[SQ007]","G31V02[SQ008]","G31V02[SQ009]","G31V02[SQ010]","G31V03[SQ001]","G31V03[SQ002]","G31V03[SQ003]","G31V03[SQ004]","G31V03[SQ005]","G31V03[SQ006]","G31V03[SQ007]","G31V03[SQ008]","G31V03[SQ009]","G31V03[SQ010]","G32V01[SQ001]","G32V01[SQ002]","G32V01[SQ003]","G32V01[SQ004]","G32V01[SQ005]","G32V01[SQ006]","G32V01[SQ007]","G32V01[SQ008]","G32V01[SQ009]","G32V01[SQ010]","G32V02[SQ001]","G32V02[SQ002]","G32V02[SQ003]","G32V02[SQ004]","G32V02[SQ005]","G32V02[SQ006]","G32V02[SQ007]","G32V02[SQ008]","G32V02[SQ009]","G32V02[SQ010]","G32V03[SQ001]","G32V03[SQ002]","G32V03[SQ003]","G32V03[SQ004]","G32V03[SQ005]","G32V03[SQ006]","G32V03[SQ007]","G32V03[SQ008]","G32V03[SQ009]","G32V03[SQ010]","G33V01[SQ001]","G33V01[SQ002]","G33V01[SQ003]","G33V01[SQ004]","G33V01[SQ005]","G33V01[SQ006]","G33V01[SQ007]","G33V01[SQ008]","G33V01[SQ009]","G33V01[SQ010]","G33V02[SQ001]","G33V02[SQ002]","G33V02[SQ003]","G33V02[SQ004]","G33V02[SQ005]","G33V02[SQ006]","G33V02[SQ007]","G33V02[SQ008]","G33V02[SQ009]","G33V02[SQ010]","G33V03[SQ001]","G33V03[SQ002]","G33V03[SQ003]","G33V03[SQ004]","G33V03[SQ005]","G33V03[SQ006]","G33V03[SQ007]","G33V03[SQ008]","G33V03[SQ009]","G33V03[SQ010]","G34V01[SQ001]","G34V01[SQ002]","G34V01[SQ003]","G34V01[SQ004]","G34V01[SQ005]","G34V01[SQ006]","G34V01[SQ007]","G34V01[SQ008]","G34V01[SQ009]","G34V01[SQ010]","G34V02[SQ001]","G34V02[SQ002]","G34V02[SQ003]","G34V02[SQ004]","G34V02[SQ005]","G34V02[SQ006]","G34V02[SQ007]","G34V02[SQ008]","G34V02[SQ009]","G34V02[SQ010]","G34V03[SQ001]","G34V03[SQ002]","G34V03[SQ003]","G34V03[SQ004]","G34V03[SQ005]","G34V03[SQ006]","G34V03[SQ007]","G34V03[SQ008]","G34V03[SQ009]","G34V03[SQ010]","G35V01[SQ001]","G35V01[SQ002]","G35V01[SQ003]","G35V01[SQ004]","G35V01[SQ005]","G35V01[SQ006]","G35V01[SQ007]","G35V01[SQ008]","G35V01[SQ009]","G35V01[SQ010]","G35V02[SQ001]","G35V02[SQ002]","G35V02[SQ003]","G35V02[SQ004]","G35V02[SQ005]","G35V02[SQ006]","G35V02[SQ007]","G35V02[SQ008]","G35V02[SQ009]","G35V02[SQ010]","G35V03[SQ001]","G35V03[SQ002]","G35V03[SQ003]","G35V03[SQ004]","G35V03[SQ005]","G35V03[SQ006]","G35V03[SQ007]","G35V03[SQ008]","G35V03[SQ009]","G35V03[SQ010]","G36V01[SQ001]","G36V01[SQ002]","G36V01[SQ003]","G36V01[SQ004]","G36V01[SQ005]","G36V01[SQ006]","G36V01[SQ007]","G36V01[SQ008]","G36V01[SQ009]","G36V01[SQ010]","G36V02[SQ001]","G36V02[SQ002]","G36V02[SQ003]","G36V02[SQ004]","G36V02[SQ005]","G36V02[SQ006]","G36V02[SQ007]","G36V02[SQ008]","G36V02[SQ009]","G36V02[SQ010]","G36V03[SQ001]","G36V03[SQ002]","G36V03[SQ003]","G36V03[SQ004]","G36V03[SQ005]","G36V03[SQ006]","G36V03[SQ007]","G36V03[SQ008]","G36V03[SQ009]","G36V03[SQ010]","G37V01[SQ001]","G37V01[SQ002]","G37V01[SQ003]","G37V01[SQ004]","G37V01[SQ005]","G37V01[SQ006]","G37V01[SQ007]","G37V01[SQ008]","G37V01[SQ009]","G37V01[SQ010]","G37V02[SQ001]","G37V02[SQ002]","G37V02[SQ003]","G37V02[SQ004]","G37V02[SQ005]","G37V02[SQ006]","G37V02[SQ007]","G37V02[SQ008]","G37V02[SQ009]","G37V02[SQ010]","G37V03[SQ001]","G37V03[SQ002]","G37V03[SQ003]","G37V03[SQ004]","G37V03[SQ005]","G37V03[SQ006]","G37V03[SQ007]","G37V03[SQ008]","G37V03[SQ009]","G37V03[SQ010]","G38V01[SQ001]","G38V01[SQ002]","G38V01[SQ003]","G38V01[SQ004]","G38V01[SQ005]","G38V01[SQ006]","G38V01[SQ007]","G38V01[SQ008]","G38V01[SQ009]","G38V01[SQ010]","G38V02[SQ001]","G38V02[SQ002]","G38V02[SQ003]","G38V02[SQ004]","G38V02[SQ005]","G38V02[SQ006]","G38V02[SQ007]","G38V02[SQ008]","G38V02[SQ009]","G38V02[SQ010]","G38V03[SQ001]","G38V03[SQ002]","G38V03[SQ003]","G38V03[SQ004]","G38V03[SQ005]","G38V03[SQ006]","G38V03[SQ007]","G38V03[SQ008]","G38V03[SQ009]","G38V03[SQ010]","G39V01[SQ001]","G39V01[SQ002]","G39V01[SQ003]","G39V01[SQ004]","G39V01[SQ005]","G39V01[SQ006]","G39V01[SQ007]","G39V01[SQ008]","G39V01[SQ009]","G39V01[SQ010]","G39V02[SQ001]","G39V02[SQ002]","G39V02[SQ003]","G39V02[SQ004]","G39V02[SQ005]","G39V02[SQ006]","G39V02[SQ007]","G39V02[SQ008]","G39V02[SQ009]","G39V02[SQ010]","G39V03[SQ001]","G39V03[SQ002]","G39V03[SQ003]","G39V03[SQ004]","G39V03[SQ005]","G39V03[SQ006]","G39V03[SQ007]","G39V03[SQ008]","G39V03[SQ009]","G39V03[SQ010]","G40V01[SQ001]","G40V01[SQ002]","G40V01[SQ003]","G40V01[SQ004]","G40V01[SQ005]","G40V01[SQ006]","G40V01[SQ007]","G40V01[SQ008]","G40V01[SQ009]","G40V01[SQ010]","G40V02[SQ001]","G40V02[SQ002]","G40V02[SQ003]","G40V02[SQ004]","G40V02[SQ005]","G40V02[SQ006]","G40V02[SQ007]","G40V02[SQ008]","G40V02[SQ009]","G40V02[SQ010]","G40V03[SQ001]","G40V03[SQ002]","G40V03[SQ003]","G40V03[SQ004]","G40V03[SQ005]","G40V03[SQ006]","G40V03[SQ007]","G40V03[SQ008]","G40V03[SQ009]","G40V03[SQ010]","G41V01[SQ001]","G41V01[SQ002]","G41V01[SQ003]","G41V01[SQ004]","G41V01[SQ005]","G41V01[SQ006]","G41V01[SQ007]","G41V01[SQ008]","G41V01[SQ009]","G41V01[SQ010]","G41V02[SQ001]","G41V02[SQ002]","G41V02[SQ003]","G41V02[SQ004]","G41V02[SQ005]","G41V02[SQ006]","G41V02[SQ007]","G41V02[SQ008]","G41V02[SQ009]","G41V02[SQ010]","G41V03[SQ001]","G41V03[SQ002]","G41V03[SQ003]","G41V03[SQ004]","G41V03[SQ005]","G41V03[SQ006]","G41V03[SQ007]","G41V03[SQ008]","G41V03[SQ009]","G41V03[SQ010]","G42V01[SQ001]","G42V01[SQ002]","G42V01[SQ003]","G42V01[SQ004]","G42V01[SQ005]","G42V01[SQ006]","G42V01[SQ007]","G42V01[SQ008]","G42V01[SQ009]","G42V01[SQ010]","G42V02[SQ001]","G42V02[SQ002]","G42V02[SQ003]","G42V02[SQ004]","G42V02[SQ005]","G42V02[SQ006]","G42V02[SQ007]","G42V02[SQ008]","G42V02[SQ009]","G42V02[SQ010]","G42V03[SQ001]","G42V03[SQ002]","G42V03[SQ003]","G42V03[SQ004]","G42V03[SQ005]","G42V03[SQ006]","G42V03[SQ007]","G42V03[SQ008]","G42V03[SQ009]","G42V03[SQ010]","CFQ[SQ001]","CFQ[SQ002]","CFQ[SQ003]","CFQ[SQ004]","CFQ[SQ005]","CFQ[SQ006]","CFQ[SQ007]","CFQ[SQ008]","CFQ[SQ009]","CFQ[SQ010]","CFQ[SQ011]","CFQ[SQ012]","ATS[SQ001]","ATS[SQ002]","ATS[SQ003]","ATS[SQ004]","ATS[SQ005]","ATS[SQ006]","ATS[SQ007]","G45Q129"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sehr oft","Nie","Manchmal","Selten","Manchmal","Selten","Selten","Selten","Manchmal","Selten","Nie","Nie","trifft überhaupt nicht zu","teils/teils","trifft überhaupt nicht zu","teils/teils","trifft vollständig zu","trifft vollständig zu","trifft eher nicht zu",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Selten","Nie","Nie","Oft","Manchmal","Selten","Manchmal","Manchmal","Manchmal","Manchmal","Manchmal","Manchmal","teils/teils","trifft eher zu","trifft nicht zu","trifft eher zu","teils/teils","teils/teils","trifft zu",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Oft","Manchmal","Manchmal","Sehr oft","Oft","Oft","Oft","Manchmal","Sehr oft","Sehr oft","Oft","Manchmal","trifft zu","teils/teils","teils/teils","trifft nicht zu","teils/teils","teils/teils","teils/teils",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Selten","Nie","Nie","Selten","Nie","Selten","Selten","Selten","Manchmal","Selten","Nie","Nie","trifft nicht zu","teils/teils","trifft eher nicht zu","trifft eher zu","teils/teils","trifft nicht zu","teils/teils",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Selten","Nie","Selten","Manchmal","Selten","Selten","Selten","Manchmal","Selten","Selten","Selten","Manchmal","trifft eher zu","trifft eher zu","trifft nicht zu","trifft eher zu","teils/teils","trifft nicht zu","trifft überhaupt nicht zu",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Zustimmung","Ablehnung","Neutral","Starke Ablehnung","Neutral","Ablehnung","Zustimmung","Neutral","Neutral","Ablehnung","Ablehnung","Zustimmung","Neutral","Ablehnung","Neutral","Neutral","Neutral","Ablehnung","Zustimmung","Neutral","Ablehnung","Zustimmung","Neutral","Neutral","Zustimmung","Ablehnung","Neutral","Neutral","Zustimmung","Ablehnung","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Oft","Selten","Manchmal","Manchmal","Manchmal","Nie","Sehr oft","Manchmal","Manchmal","Selten","Oft","Nie","trifft nicht zu","trifft zu","trifft eher zu","teils/teils","teils/teils","trifft nicht zu","trifft eher zu",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nie","Selten","Manchmal","Sehr oft","Manchmal","Manchmal","Oft","Selten","Manchmal","Oft","Manchmal","Selten","trifft zu","trifft eher zu","teils/teils","trifft eher zu","trifft eher nicht zu","trifft eher zu","trifft eher zu",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nie","Selten","Nie","Manchmal","Selten","Nie","Selten","Selten","Selten","Manchmal","Selten","Nie","trifft eher nicht zu","teils/teils","trifft eher nicht zu","teils/teils","teils/teils","trifft zu","trifft nicht zu",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Selten","Manchmal","Nie","Selten","Selten","Selten","Nie","Selten","Nie","Selten","Nie","Manchmal","teils/teils","trifft eher zu","trifft eher nicht zu","trifft eher zu","teils/teils","trifft nicht zu","trifft nicht zu",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Zustimmung","Ablehnung","Starke Ablehnung","Starke Ablehnung","Zustimmung","Starke Ablehnung","Zustimmung","Starke Zustimmung","Ablehnung","Neutral","Zustimmung","Ablehnung","Starke Ablehnung","Starke Ablehnung","Starke Zustimmung","Starke Ablehnung","Neutral","Zustimmung","Ablehnung","Neutral","Starke Zustimmung","Starke Ablehnung","Starke Ablehnung","Starke Ablehnung","Starke Zustimmung","Neutral","Starke Zustimmung","Starke Zustimmung","Starke Ablehnung","Starke Ablehnung","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nie","Selten","Nie","Manchmal","Nie","Nie","Selten","Nie","Manchmal","Selten","Nie","Nie","trifft überhaupt nicht zu","trifft überhaupt nicht zu","trifft zu","trifft überhaupt nicht zu","trifft vollständig zu","trifft vollständig zu","trifft überhaupt nicht zu",""
